ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,ISO 3166-1 alpha-3
257,United Republic of Tanzania,48357,Arusha,115068,Karatu,TZA
257,United Republic of Tanzania,115003,Iringa,115032,Iringa Rural,TZA
257,United Republic of Tanzania,115003,Iringa,115069,Kilolo,TZA
257,United Republic of Tanzania,48365,Manyara,115119,Mbulu,TZA
257,United Republic of Tanzania,48373,Pwani,115056,Kisarawe,TZA
257,United Republic of Tanzania,48373,Pwani,115071,Mkuranga,TZA
257,United Republic of Tanzania,115009,Shinyanga,115067,Kahama,TZA
257,United Republic of Tanzania,48369,Mtwara,115050,Newala,TZA
257,United Republic of Tanzania,48369,Mtwara,115073,Tandahimba,TZA
257,United Republic of Tanzania,115006,Mwanza,115070,Kwimba,TZA
257,United Republic of Tanzania,115006,Mwanza,115103,Misungwi,TZA
257,United Republic of Tanzania,48367,Mbeya,115101,Mbarali,TZA
257,United Republic of Tanzania,48367,Mbeya,115046,Mbeya Rural,TZA
257,United Republic of Tanzania,115009,Shinyanga,115043,Kishapu,TZA
257,United Republic of Tanzania,115009,Shinyanga,115063,Shinyanga Rural,TZA
257,United Republic of Tanzania,48368,Morogoro,115113,Morogoro,TZA
257,United Republic of Tanzania,48368,Morogoro,115090,Mvomero,TZA
257,United Republic of Tanzania,48381,Tanga,115085,Handeni,TZA
257,United Republic of Tanzania,48381,Tanga,115110,Handeni Township Authority,TZA
257,United Republic of Tanzania,48381,Tanga,115099,Kilindi,TZA
257,United Republic of Tanzania,48381,Tanga,115105,Mkinga,TZA
257,United Republic of Tanzania,48381,Tanga,115060,Muheza,TZA
257,United Republic of Tanzania,48359,Dodoma,115095,Chemba,TZA
257,United Republic of Tanzania,48359,Dodoma,115036,Kondoa,TZA
257,United Republic of Tanzania,115002,Geita,115065,Bukombe,TZA
257,United Republic of Tanzania,115002,Geita,115030,Geita,TZA
257,United Republic of Tanzania,115002,Geita,115059,Mbogwe,TZA
257,United Republic of Tanzania,115002,Geita,115051,Nyang'wale,TZA
257,United Republic of Tanzania,115004,Kagera,115034,Karagwe,TZA
257,United Republic of Tanzania,115004,Kagera,115107,Kyerwa,TZA
257,United Republic of Tanzania,115005,Katavi,115117,Mlele,TZA
257,United Republic of Tanzania,115005,Katavi,115116,Mpanda Rural,TZA
257,United Republic of Tanzania,115005,Katavi,115118,Mpanda Urban,TZA
257,United Republic of Tanzania,48362,Kigoma,115084,Buhigwe,TZA
257,United Republic of Tanzania,48362,Kigoma,115096,Kakonko,TZA
257,United Republic of Tanzania,48362,Kigoma,115041,Kasulu,TZA
257,United Republic of Tanzania,48362,Kigoma,115106,Kasulu Township Authority,TZA
257,United Republic of Tanzania,48362,Kigoma,115035,Kibondo,TZA
257,United Republic of Tanzania,48362,Kigoma,115055,Kigoma Rural,TZA
